,Naam,Aanbevolen door,Aantal stemmen,Procentueel,District,Verkiezingdatum,Type,Omvang electoraat,Opkomst,Aantal stembriefjes,Aantal stemmen geldig,Aantal stemmen blanco,Aantal zetels,Kiesdrempel,counts,won,min_stem_win,min_pct_win,margin,close_cand_5pct,close_cand_10pct,close_cand_20pct,Naam_win,Aanbevolen door_win,Aantal stemmen_win,Procentueel_win,alrdy_in_pols
1798,dr. P. Kohnstamm,VD(VL/Lib),2497.0,0.45539999999999997,Weststellingwerf,25/06/1913,herstemming,7878,-,5528,5483.0,45,1.0,2742.0,2,0,2986.0,0.5446,-0.0892,0,1,1,F.W.N. Hugenholtz,SDAP,2986.0,0.5446,nee
1799,J.C. baron van Haersolte,AR(Ka/CHU),2236.0,0.33159999999999995,Deventer,17/06/1913,algemeen,8431,-,6814,6744.0,70,1.0,3372.0,2,0,3573.0,0.5297999999999999,-0.1982,0,0,1,mr. H.P. Marchant,VD,3573.0,0.5297999999999999,nee
1802,J.C. de Gast,Lib,2430.0,0.34509999999999996,Kampen,17/06/1913,algemeen,8093,-,7169,7042.0,127,1.0,3521.0,2,0,3430.0,0.48710000000000003,-0.14200000000000007,0,0,1,dr. E.J. Beumer,AR(Ka/CHU),3430.0,0.48710000000000003,nee
1803,J.C. de Gast,Lib(VL/VD/SDAP),3724.0,0.4899,Kampen,25/06/1913,herstemming,8093,-,7671,7601.0,70,1.0,3801.0,2,0,3877.0,0.5101,-0.020199999999999996,1,1,1,dr. E.J. Beumer,AR(Ka/CHU),3877.0,0.5101,nee
1806,mr.dr. E. van Ketwich Verschuur,Lib,3196.0,0.4397,Steenwijk,17/06/1913,algemeen,7976,-,7372,7268.0,104,1.0,3634.0,2,0,3721.0,0.512,-0.07230000000000003,0,1,1,L.F. Duymaer van Twist,AR(Ka/CHU),3721.0,0.512,nee
1816,R. Koppe,AR(Ka/CHU),1645.0,0.2593,Hoogezand,17/06/1913,algemeen,7594,-,6434,6344.0,90,1.0,3172.0,3,0,2575.0,0.40590000000000004,-0.14660000000000006,0,0,1,H. Spiekman,SDAP,2575.0,0.40590000000000004,nee
1818,H. Snijders,VD,2272.0,0.2986,Veendam,17/06/1913,algemeen,9054,-,7707,7610.0,97,1.0,3805.0,2,0,3156.0,0.4147,-0.11610000000000004,0,0,1,mr. G.W. Sannes,SDAP,3156.0,0.4147,nee
1820,H. Snijders,VD(VL/Lib),2624.0,0.4304,Veendam,25/06/1913,herstemming,9054,-,6175,6096.0,79,1.0,3048.0,2,0,3472.0,0.5696,-0.1392,0,0,1,mr. G.W. Sannes,SDAP,3472.0,0.5696,nee
1821,L.M. Hermans,SDAP,2303.0,0.4035,Winschoten,17/06/1913,algemeen,8016,-,5772,5708.0,64,1.0,2854.0,2,0,2396.0,0.41979999999999995,-0.016299999999999926,1,1,1,dr. D. Bos,VD,2396.0,0.41979999999999995,nee
1822,L.M. Hermans,SDAP,2537.0,0.44439999999999996,Winschoten,25/06/1913,herstemming,8016,-,5745,5709.0,36,1.0,2855.0,2,0,3172.0,0.5556,-0.11120000000000002,0,0,1,dr. D. Bos,VD(VL/Lib),3172.0,0.5556,nee
1825,F. Fokkens,CHU(AR),2339.0,0.358,Meppel,17/06/1913,algemeen,7983,-,6633,6534.0,99,1.0,3267.0,2,0,3326.0,0.509,-0.15100000000000002,0,0,1,mr. H. Smeenge,Lib,3326.0,0.509,nee
1832,T. van der Waerden,SDAP,2445.0,0.4882,Hoogezand,04/08/1913,tussentijds,7594,-,5034,5008.0,26,1.0,2504.0,2,0,2563.0,0.5118,-0.02360000000000001,1,1,1,mr. P. Rink,Lib,2563.0,0.5118,nee
1833,H. Stulemeijer,,1532.0,0.4017,Rotterdam III,07/01/1914,tussentijds,5734,-,3851,3814.0,37,1.0,1907.0,2,0,1755.0,0.46009999999999995,-0.05839999999999995,0,1,1,dr. B.D. Eerdmans,,1755.0,0.46009999999999995,nee
1834,H. Stulemeijer,,1784.0,0.42710000000000004,Rotterdam III,14/01/1914,herstemming,5734,-,4215,4177.0,38,1.0,2089.0,2,0,2393.0,0.5729,-0.14579999999999993,0,0,1,dr. B.D. Eerdmans,,2393.0,0.5729,nee
